"","X","BeerID","Name","StyleID","Beer_Style","Page_Views","Recipe_Type","Rating","Yield","Description","Ingredients","Procedure"
"2714",2714,2714,"Gertie Porter",19,"Baltic Porter",425,"partial mash","0-0","5 US gallons","0","2 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 1 lbs - Caramel/Crystal Malt - 30L (30.0 SRM) (Grain) 4.0 oz - Black (Patent) Malt (500.0 SRM) (Grain) 4.0 oz - Chocolate Malt (350.0 SRM) (Grain) 3 lbs - Amber Dry Extract (12.5 SRM) (Grain) 3 lbs - Dark Dry Extract (17.5 SRM) (Grain) 1.5 oz - Willamette [5.5%] - Boil 60 min (Hops) 1.00 - Whirlfloc Tablet (Boil 15 min) (Misc) 1.0 oz - Cascade [5.5%] - Boil 15 min (Hops) 1 pkgs - British Ale Yeast (Wyeast Labs #1098) (Yeast)","0"
"2720",2720,2720,"Bad Santa Viennese Spiced Porter",19,"Baltic Porter",2062,"all-grain","0-0","5 US gallons","0","5 lbs 1.6 oz - Vienna Malt (3.5 SRM) (Grain) 5 lbs 1.4 oz - Munich Malt (9.0 SRM) (Grain) 1 lbs - Oats, Flaked (1.0 SRM) (Grain) 8.0 oz - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain) 7.8 oz - Black (Patent) Malt (500.0 SRM) (Grain) 3.9 oz - Caramunich Malt (56.0 SRM) (Grain) 2.0 oz - Mt. Hood [6.0%] - Boil 60 min (Hops) 0.5 oz - Fuggles [4.5%] - Boil 5 min (Hops) 0.10 oz - Cinnamon Stick (Boil 5 min) (Misc) 1 pkgs - American Ale Yeast Blend (White Labs #WLP060) (Yeast) 3.50 oz - Cherry Extract (Bottling 5 min) (Misc)","0"
"2732",2732,2732,"Baltic Porter (JZ, BCS)",19,"Baltic Porter",4299,"all-grain","0-0","8.72 US gallons","0","16 lbs 5.0 oz - Munich Malt (9.0 SRM) (Grain) 9 lbs 11.2 oz - Pilsner (Weyermann) (1.7 SRM) (Grain) 12.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 12.0 oz - Special B Malt (180.0 SRM) (Grain) 9.2 oz - Carafa Special II (Weyermann) (415.0 SRM) (Grain) 6.0 oz - Chocolate Malt (Thomas Fawcett) (508.0 SRM) (Grain) 3.3 oz - Hallertauer Mittelfrueh [4.3%] - Boil 60 min (Hops) 1.4 oz - Saaz [3.2%] - Boil 15 min (Hops)","0"
"2744",2744,2744,"Imperial Porter",19,"Baltic Porter",3091,"all-grain","0-0","15.25 US gallons","0","25 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 15 lbs - Munich Malt (9.0 SRM) (Grain) 5 lbs - Mild Malt (4.0 SRM) (Grain) 1 lbs - Chocolate Malt (350.0 SRM) (Grain) 8.0 oz - Black (Patent) Malt (500.0 SRM) (Grain) 4.0 oz - Peat Smoked Malt (2.8 SRM) (Grain) 5 lbs - Light Dry Extract (8.0 SRM) (Grain) 1 lbs - Molasses (80.0 SRM) (Grain) 3.0 oz - Northern Brewer [8.5%] - Boil 60 min (Hops) 4.0 oz - Fuggles [4.2%] - Boil 20 min (Hops) 6.0 oz - Fuggles [4.2%] - Boil 10 min (Hops) 2 pkgs - Irish Ale Yeast (White Labs #WLP004) (Yeast)","0"
"2767",2767,2767,"Seventh Seal Baltic Porter",19,"Baltic Porter",1835,"all-grain","0-0","5 US gallons","0","0.50 g - Campden Tablets (potassium metabisulfite) (Mash 60 min) (Misc) 6 lbs - Munich 10L Organic (Briess) (10.0 SRM) (Grain) 6 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain) 1 lbs 8.0 oz - Caramel Malt - 120L Organic (Briess) (120.0 SRM) (Grain) 1 lbs 8.0 oz - Chocolate Organic (Briess) (350.0 SRM) (Grain) 1 lbs - Honey Malt (25.0 SRM) (Grain) 2.0 oz - Saaz [5.0%] - Boil 60 min (Hops) 1.00 oz - Licorice Root (Boil 15 min) (Misc) 1.00 tsp - Irish Moss (Boil 10 min) (Misc) 1.00 tsp - Yeast Nutrient (Boil 10 min) (Misc) 1.0 oz - Saaz [5.0%] - Boil 5 min (Hops) 3 pkgs - Saflager Lager (DCL/Fermentis #W-34/70) (Yeast)","0"
"2901",2901,2901,"Trolley #7 - Version 2",19,"Baltic Porter",5163,"partial mash","0-0","5 US gallons","Wouldn&#39;t change a thing, except brew it more often! Just tried a Founders Breakfast Stout and it&#39;s very similar to our Trolley #7. Damn good beer!","3 lbs 8.0 oz - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain) 8.0 oz - Chocolate Malt (350.0 SRM) (Grain) 8.0 oz - Oats, Flaked (1.0 SRM) (Grain) 8.0 oz - Roasted Barley (300.0 SRM) (Grain) 6 lbs - Dark Dry Extract (17.5 SRM) (Grain) 1.0 oz - Northern Brewer [8.5%] - Boil 60 min (Hops) 1.0 oz - Goldings, B.C. [5.0%] - Boil 45 min (Hops) 1.0 oz - Saaz [4.0%] - Boil 30 min (Hops) 1.0 oz - Fuggles [4.5%] - Boil 15 min (Hops) 1.00 tsp - Irish Moss (Boil 10 min) (Misc) 4.00 oz - Cocoa powder, unsweetened (Boil 10 min) (Misc) 1 pkgs - German Bock Lager (White Labs #WLP833) (Yeast) 1.00 qt - Coffee, cold pressed (Secondary 0 min) (Misc)","0"
"2954",2954,2954,"Imperial Porter (tampa Bay)",19,"Baltic Porter",1879,"all-grain","0-0","70 US gallons","0","160 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 57 lbs - Munich Malt (9.0 SRM) (Grain) 20 lbs - Mild Malt (4.0 SRM) (Grain) 5 lbs - Chocolate Malt (350.0 SRM) (Grain) 2 lbs - Black (Patent) Malt (500.0 SRM) (Grain) 1 lbs - Peat Smoked Malt (2.8 SRM) (Grain) 7 lbs - Molasses (80.0 SRM) (Grain) 14.0 oz - Northern Brewer [8.5%] - Boil 60 min (Hops) 1 lbs 2.0 oz - Fuggles [4.2%] - Boil 20 min (Hops) 1 lbs 11.0 oz - Fuggles [4.2%] - Boil 10 min (Hops) 14.00 lbs - Oak Chips (Secondary 7 days) (Misc)","0"
"2991",2991,2991,"Epic Wired Stout",19,"Baltic Porter",4913,"all-grain","0-0","5.02 US gallons","0","11 lbs 0.4 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain) 3 lbs 4.9 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain) 10.6 oz - Black (Patent) Malt (500.0 SRM) (Grain) 10.6 oz - Brown Malt (Simpsons) (150.0 SRM) (Grain) 10.6 oz - Caramel/Crystal Malt -120L (120.0 SRM) (Grain) 10.6 oz - Carastan (30.0 SRM) (Grain) 10.6 oz - Chocolate Malt (350.0 SRM) (Grain) 10.6 oz - Oats, Flaked (1.0 SRM) (Grain) 10.6 oz - Roasted Barley (300.0 SRM) (Grain) 1.0 oz - Cascade (2011 BM?) [6.2%] - Boil 75 min (Hops) 1.0 oz - Centennial (2011 BM?) [9.6%] - Boil 75 min (Hops) 1.0 oz - Cascade (2011 BM?) [6.2%] - Boil 30 min (Hops) 1.0 oz - Centennial (2011 BM?) [9.6%] - Boil 30 min (Hops) 1.00 - Whirlfloc Tablet (Boil 15 min) (Misc) 1.00 tsp - Wyeast Yeast Nutrient (Boil 15 min) (Misc) 1.6 oz - Cascade (2011 BM?) [6.2%] - Boil 10 min (Hops) 1.6 oz - Centennial (2011 BM?) [9.6%] - Boil 10 min (Hops) 1.6 oz - Cascade (2011 BM?) [6.2%] - Steep 10 min (Hops) 1.6 oz - Centennial (2011 BM?) [9.6%] - Steep 10 min (Hops) 1 pkgs - Nottingham (Danstar #-) (Yeast) 1.1 oz - Cascade (2012) [6.5%] - Dry Hop 0 days (Hops) 1.1 oz - Centennial (2012 BM?) [10.9%] - Dry Hop 0 days (Hops)","0"
"2993",2993,2993,"Outlaw Country Porter",19,"Baltic Porter",647,"all-grain","0-0","5 US gallons","0","12 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 1 lbs - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 5.3 oz - Chocolate Malt (350.0 SRM) (Grain) 5.3 oz - Chocolate Malt (450.0 SRM) (Grain) 4.0 oz - Black (Patent) Malt (500.0 SRM) (Grain) 1.5 oz - Galena [12.5%] - Boil 60 min (Hops) 1.0 oz - Zythos [10.9%] - Boil 60 min (Hops) 1.00 tsp - Irish Moss (Boil 10 min) (Misc) 1 pkgs - Burton Ale (White Labs #WLP023) (Yeast) 1.00 tsp - Yeast Nutrient (Primary 3 days) (Misc) 1.00 tsp - Gelatin (Secondary 5 hours) (Misc)","0"
"3015",3015,3015,"Toms Baltic Porter",19,"Baltic Porter",5621,"all-grain","0-0","6 US gallons","This brew is in the very low range of Porter style gravities. Body is not heavy as you would expect from looking, a nice dark clear colour, and body. Chocolatey, smokey, coffe type dry -earth flavours and aroma from generous use of black malt. Nicely underhopped as per style, Noble German hops remain in the background keeping malt at the forefront.","12 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 8.0 oz - Black (Patent) Malt (500.0 SRM) (Grain) 1 lbs - Pilsner Liquid Extract (3.5 SRM) (Grain) 2 lbs - Candi Sugar, Dark (275.0 SRM) (Grain) 0.5 oz - Hallertauer Tradition [7.0%] - Boil 60 min (Hops) 0.5 oz - Northern Brewer [8.5%] - Boil 60 min (Hops) 0.30 tsp - Irish Moss (Boil 10 min) (Misc) 3 pkgs - Saflager Lager (DCL/Fermentis #W-34/70) (Yeast) 0.60 tsp - Amylase Enzyme (Primary 3 days) (Misc) 4.00 oz - Oak Chips (Secondary 7 days) (Misc)","0"
"3120",3120,3120,"Its Baltic out there",19,"Baltic Porter",4224,"all-grain","0-0","6.08 US gallons","0","3.00 g - Baking Soda (Mash 90 min) (Misc) 11 lbs 15.9 oz - Munich Malt (9.0 SRM) (Grain) 6 lbs 15.8 oz - Pilsen (Dingemans) (1.6 SRM) (Grain) 8.1 oz - Crystal Extra Dark - 120L (Crisp) (120.0 SRM) (Grain) 8.1 oz - Crystal Malt - 60L (Thomas Fawcett) (60.0 SRM) (Grain) 6.0 oz - Carafa Special II (Weyermann) (415.0 SRM) (Grain) 3.9 oz - Chocolate Malt (Thomas Fawcett) (508.0 SRM) (Grain) 2.5 oz - Saaz [3.8%] - First Wort (Hops) 0.7 oz - Bramling Cross [6.0%] - First Wort (Hops) 4.00 g - Calcium Chloride (Boil 60 min) (Misc) 2.00 g - Gypsum (Calcium Sulfate) (Boil 60 min) (Misc) 1.00 - Whirlfloc Tablet (Boil 15 min) (Misc) 1.0 oz - Saaz [3.8%] - Boil 10 min (Hops) 1.00 - Servomyces Yeast Nutrient (Boil 10 min) (Misc) 1.00 tsp - Yeast Nutrient (Boil 10 min) (Misc) 3 pkgs - Saflager Lager (DCL/Fermentis #W-34/70) (Yeast) 2 pkgs - Bohemian Lager Yeast (Mangrove Jack&#39;s #M84) (Yeast)","0"
"3186",3186,3186,"MS Token Porter",19,"Baltic Porter",2044,"all-grain","0-0","5.5 US gallons","0","0.50 tsp - Mash 5.2 (Mash 60 min) (Misc) 6 lbs - Rahr Standard Pale 2 Row (2.1 SRM) (Grain) 4 lbs 8.0 oz - Munich Malt - 10L (10.0 SRM) (Grain) 12.0 oz - British Crystal Malt, Dark (80.0 SRM) (Grain) 12.0 oz - Chocolate Malt, Pale (200.0 SRM) (Grain) 10.1 oz - Special Roast (50.0 SRM) (Grain) 8.0 oz - Caraaroma (130.0 SRM) (Grain) 8.0 oz - Wheat, Torrified (1.7 SRM) (Grain) 0.4 oz - Magnum [11.6%] - First Wort (Hops) 0.2 oz - Tettnang [4.0%] - First Wort (Hops) 0.2 oz - Magnum [11.6%] - Boil 60 min (Hops) 0.2 oz - Tettnang [4.0%] - Boil 20 min (Hops) 1 pkgs - Munich Lager (Wyeast Labs #2308) (Yeast) 1.00 tsp - Yeast Nutrient (Primary 3 days) (Misc)","0"
"3216",3216,3216,"Zek's Porter (Baltic Porter)",19,"Baltic Porter",3848,"all-grain","0-0","11.1 US gallons","0","26 lbs 7.3 oz - Munich I (Weyermann) (7.1 SRM) (Grain) 15 lbs 6.9 oz - Pilsner (Weyermann) (1.7 SRM) (Grain) 1 lbs 1.6 oz - Caraaroma (Weyermann) (178.0 SRM) (Grain) 1 lbs 1.6 oz - Caramunich III (Weyermann) (71.0 SRM) (Grain) 12.3 oz - Carafa Special II (Weyermann) (415.0 SRM) (Grain) 7.1 oz - Carafa Special I (Weyermann) (320.0 SRM) (Grain) 6.0 oz - Saaz [3.8%] - Boil 60 min (Hops) 2.1 oz - Saaz [3.8%] - Boil 15 min (Hops) 0.55 tsp - Irish Moss (Boil 10 min) (Misc) 6 pkgs - SafLager West European Lager (DCL/Fermentis #S-23) (Yeast)","0"
"3231",3231,3231,"Enchantress",19,"Baltic Porter",2458,"all-grain","0-0","5.25 US gallons","3/27/2014 - This tastes awesome, the cho","8 lbs 4.8 oz - Pale Malt (2 Row) (1.9 SRM) (Grain) 1 lbs 1.6 oz - Munich Malt (6.0 SRM) (Grain) 1 lbs - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain) 1 lbs - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain) 12.0 oz - Chocolate Malt (450.0 SRM) (Grain) 8.0 oz - Black (Patent) Malt (500.0 SRM) (Grain) 1.0 oz - Goldings, East Kent [7.2%] - Boil 60 min (Hops) 0.5 oz - Willamette [5.2%] - Boil 30 min (Hops) 1.0 oz - Willamette [5.2%] - Boil 15 min (Hops) 0.50 lbs - Cocoa Powder (Boil 5 min) (Misc) 0.5 oz - Goldings, East Kent [5.0%] - Boil 0 min (Hops) 0.5 oz - Willamette [5.2%] - Boil 0 min (Hops) 1 pkgs - California Ale (White Labs #WLP001) (Yeast) 0.50 oz - Hazelnut Extract (Bottling 0 min) (Misc)","0"
"3259",3259,3259,"Baltic Porter nhc",19,"Baltic Porter",2690,"all-grain","0-0","10.54 US gallons","0","5.00 g - Epsom Salt (MgSO4) (Mash 60 min) (Misc) 4.90 g - Baking Soda (Mash 60 min) (Misc) 3.50 g - Chalk (Mash 60 min) (Misc) 2.50 g - Gypsum (Calcium Sulfate) (Mash 60 min) (Misc) 2.00 g - Calcium Chloride (Mash 60 min) (Misc) 13 lbs 2.7 oz - Miller blend (2.0 SRM) (Grain) 10 lbs 5.7 oz - Vienna Malt (3.5 SRM) (Grain) 3 lbs 0.9 oz - Pale Malt (2 Row) UK (3.0 SRM) (Grain) 1 lbs 8.1 oz - Brown Malt (65.0 SRM) (Grain) 1 lbs 4.1 oz - Crystal 60 L ( Miller) (60.0 SRM) (Grain) 12.0 oz - Carabrown Malt (15.0 SRM) (Grain) 8.6 oz - Caramunich II (Weyermann) (63.0 SRM) (Grain) 8.6 oz - Chocolate (Dingemans) (340.0 SRM) (Grain) 7.7 oz - Caraaroma (Weyermann) (178.0 SRM) (Grain) 7.2 oz - Chateau Special B (152.3 SRM) (Grain) 5.9 oz - De-Bittered Black Malt (Dingemans) (550.0 SRM) (Grain) 1.1 oz - Target [7.5%] - First Wort (Hops) 1 lbs 0.2 oz - DME Golden Light (Briess) (4.0 SRM) (Grain) 1.2 oz - Challenger [8.9%] - Boil 60 min (Hops) 1.0 oz - Saaz [3.0%] - Boil 30 min (Hops) 2.11 tbsp - Irish Moss (Boil 15 min) (Misc) 1.0 oz - Saaz [3.0%] - Boil 10 min (Hops) 2 pkgs - German Lager (White Labs #WLP830) (Yeast) 1 pkgs - Bohemian Lager (Wyeast Labs #2124) (Yeast)","0"
